FSA,State
8606,NJ
8607,NJ
8607,NJ
8607,NJ
8607,NJ
8608,NJ
8608,NJ
8608,NJ
8608,NJ
8609,NJ
8609,NJ
8609,NJ
8609,NJ
8610,NJ
8610,NJ
8610,NJ
8610,NJ
8611,NJ
8611,NJ
8611,NJ
8611,NJ
8618,NJ
8618,NJ
8618,NJ
8618,NJ
8619,NJ
8619,NJ
8619,NJ
8619,NJ
8620,NJ
8620,NJ
8620,NJ
8620,NJ
8625,NJ
8625,NJ
8625,NJ
8625,NJ
8628,NJ
8628,NJ
8628,NJ
8628,NJ
8629,NJ
8629,NJ
8629,NJ
8629,NJ
8638,NJ
8638,NJ
8638,NJ
8638,NJ
8640,NJ
8640,NJ
8640,NJ
8640,NJ
8641,NJ
8641,NJ
8641,NJ
8641,NJ
8645,NJ
8645,NJ
8645,NJ
8645,NJ
8646,NJ
8646,NJ
8646,NJ
8646,NJ
8647,NJ
8647,NJ
8647,NJ
8647,NJ
8648,NJ
8648,NJ
8648,NJ
8648,NJ
8650,NJ
8650,NJ
8650,NJ
8650,NJ
8666,NJ
8666,NJ
8666,NJ
8666,NJ
8690,NJ
8690,NJ
8690,NJ
8690,NJ
8691,NJ
8691,NJ
8691,NJ
8691,NJ
8695,NJ
8695,NJ
8695,NJ
8695,NJ
8701,NJ
8701,NJ
8701,NJ
8701,NJ
8720,NJ
8720,NJ
8720,NJ
8720,NJ
8723,NJ
8723,NJ
8723,NJ
8723,NJ
8724,NJ
8724,NJ
8724,NJ
8724,NJ
8730,NJ
8730,NJ
8730,NJ
8730,NJ
8731,NJ
8731,NJ
8731,NJ
8731,NJ
8733,NJ
8733,NJ
8733,NJ
8733,NJ
8734,NJ
8734,NJ
8734,NJ
8734,NJ
8736,NJ
8736,NJ
8736,NJ
8736,NJ
8738,NJ
8738,NJ
8738,NJ
8738,NJ
8739,NJ
8739,NJ
8739,NJ
8739,NJ
8742,NJ
8742,NJ
8742,NJ
8742,NJ
8750,NJ
8750,NJ
8750,NJ
8750,NJ
8755,NJ
8755,NJ
8755,NJ
8755,NJ
8756,NJ
8756,NJ
8756,NJ
8756,NJ
8758,NJ
8758,NJ
8758,NJ
8758,NJ
8759,NJ
8759,NJ
8759,NJ
8759,NJ
8801,NJ
8801,NJ
8801,NJ
8801,NJ
8802,NJ
8802,NJ
8802,NJ
8802,NJ
8803,NJ
8803,NJ
8803,NJ
8803,NJ
8804,NJ
8804,NJ
8804,NJ
8804,NJ
8805,NJ
8805,NJ
8805,NJ
8805,NJ
8807,NJ
8807,NJ
8807,NJ
8807,NJ
8808,NJ
8808,NJ
8808,NJ
8808,NJ
8809,NJ
8809,NJ
8809,NJ
8809,NJ
8810,NJ
8810,NJ
8810,NJ
8810,NJ
8812,NJ
8812,NJ
8812,NJ
8812,NJ
8816,NJ
8816,NJ
8816,NJ
8816,NJ
8817,NJ
8817,NJ
8817,NJ
8817,NJ
8818,NJ
8818,NJ
8818,NJ
8818,NJ
8820,NJ
8820,NJ
8820,NJ
8820,NJ
8821,NJ
8821,NJ
8821,NJ
8821,NJ
8822,NJ
8822,NJ
8822,NJ
8822,NJ
8823,NJ
8823,NJ
8823,NJ
8823,NJ
8824,NJ
8824,NJ
8824,NJ
8824,NJ
8825,NJ
8825,NJ
8825,NJ
8825,NJ
8826,NJ
8826,NJ
8826,NJ
8826,NJ
8827,NJ
8827,NJ
8827,NJ
8827,NJ
8828,NJ
8828,NJ
8828,NJ
8828,NJ
8829,NJ
8829,NJ
8829,NJ
8829,NJ
8830,NJ
8830,NJ
8830,NJ
8830,NJ
8831,NJ
8831,NJ
8831,NJ
8831,NJ
8832,NJ
8832,NJ
8832,NJ
8832,NJ
8833,NJ
8833,NJ
8833,NJ
8833,NJ
8834,NJ
8834,NJ
8834,NJ
